Artist,Title,Medium,Year,Height (in),Width (in),Height (cm),Width (cm),Auction House,Sale Date,Lot Number,Estimate Price,Sold Price
Avery Singer Title Untitled,Untitled (Wednesday),acrylic on canvas mounted on panel,2017,85,95.2,215.9,241.9,Sotheby's New York,"Thursday, November 21, 2024",00503,"200,000 - 300,000 USD",Bought In
Avery Singer Title Bust,Bust 爆裂,acrylic on wooden panel,2012,,,,,Sotheby's Hong Kong,"Tuesday, November 12, 2024",00137,"800,000 - 1,200,000 HKD (102,847 - 154,271 USD)","600,000 HKD (77,135 USD)"
Avery Singer Title Mirror Study Description DETAILSAVERY SINGER,Mirror Study,acrylic on wooden panel,2014,18.1,24,46,61,Christie's Hong Kong,"Saturday, November 9, 2024",00125,"300,000 - 500,000 HKD (38,588 - 64,313 USD)","441,000 HKD (56,724 USD)"
Avery Singer Title Untitled,Untitled (Study),acrylic on gessoed board,2016,30,38.8,76.2,98.5,Sotheby's London,"Thursday, October 10, 2024",00151,"20,000 - 30,000 GBP (26,106 - 39,159 USD)",Bought In
Avery Singer Title Untitled Description DETAILSAVERY SINGER,Untitled,acrylic on paper,2016,30,40,76.2,101.6,Christie's New York,"Tuesday, October 1, 2024",00402,"40,000 - 60,000 USD",Bought In
Avery Singer Title Untitled Description Avery SingerUntitledsigned and dated,Untitled,acrylic on Masonite,2016,30,38.7,76.2,98.4,Phillips New York,"Wednesday, September 25, 2024",00172,"30,000 - 50,000 USD","40,640 USD"
Avery Singer Title Untitled Description AVERY SINGER,Untitled,acrylic on canvas mounted on panel,2016,78,61.3,198,155.6,Christie's New York,"Friday, May 17, 2024",00327,"800,000 - 1,200,000 USD","1,008,000 USD"
Avery Singer Title Happening Description Avery Singerb,Happening,acrylic on canvas,2013,100,120,254,304.8,Sotheby's New York,"Monday, May 13, 2024",00014,"2,500,000 - 3,500,000 USD","3,206,000 USD"
Avery Singer Title Untitled,Untitled 無題,acrylic on paper,2016,19,24,48.2,61,Sotheby's Hong Kong,"Saturday, April 6, 2024",00810,"400,000 - 600,000 HKD (51,092 - 76,638 USD)",Bought In
Avery Singer Title Untitled Description AVERY SINGER,Untitled,acrylic on smooth plate paper,2016,10.7,13.8,27.2,35,Christie's Online,"Tuesday, April 2, 2024",00030,"180,000 - 280,000 HKD (22,992 - 35,765 USD)","189,000 HKD (24,141 USD)"
Avery Singer Title Prada Mask Description DETAILSAVERY SINGER,Prada Mask,acrylic on canvas stretched over wood panel,2012,36.1,36.1,91.7,91.6,Christie's Hong Kong,"Wednesday, November 29, 2023",00320,"250,000 - 350,000 HKD (32,028 - 44,839 USD)","693,000 HKD (88,782 USD)"
Avery Singer Title Untitled Description DETAILSAVERY SINGER,Untitled,acrylic on canvas,2017,78,61,198.1,154.9,Christie's Hong Kong,"Tuesday, November 28, 2023",00090,"11,000,000 - 18,000,000 HKD (1,410,726 - 2,308,461 USD)","13,685,000 HKD (1,755,072 USD)"
Avery Singer Title Figure Reclining with iPhone Description AVERY SINGER,Figure Reclining with iPhone,acrylic on paper,2011,40.2,28.7,102,73,Christie's New York,"Friday, September 29, 2023",00305,"100,000 - 150,000 USD","100,800 USD"
Avery Singer Title Avery Singer Description Avery Singerb,Avery Singer,acrylic on Masonite,2016,30,38.9,76.2,98.7,Sotheby's New York,"Thursday, September 28, 2023",00282,"80,000 - 120,000 USD",Bought In
Avery Singer Title Untitled Description AVERY SINGER,Untitled,acrylic on canvas,2016,80,90,203.2,228.6,Christie's Hong Kong,"Sunday, May 28, 2023",00005,"15,000,000 - 20,000,000 HKD (1,914,926 - 2,553,235 USD)","31,835,000 HKD (4,064,111 USD)"
Avery Singer Title Cycladic Mask Description AVERY SINGER,Cycladic Mask,acrylic on Masonite,2011,36,36,91.4,91.4,Christie's New York,"Friday, May 12, 2023",00270,"120,000 - 180,000 USD",Bought In
Avery Singer Title Bust,Bust 爆裂,acrylic on wooden panel,2012,36,36,91.5,91.5,Sotheby's Hong Kong,"Thursday, April 6, 2023",00557,"1,500,000 - 2,500,000 HKD (191,080 - 318,467 USD)",Bought In
Avery Singer Title Prada Mask Description Lot,Prada Mask,acrylic on board,2012,36.1,36.1,91.7,91.7,Sotheby's New York,"Thursday, March 9, 2023",00005,"200,000 - 300,000 USD",Bought In
Avery Singer Title,灰⽴⽅,acrylic on paper,2016,10.8,13.9,27.5,35.2,Cuppar Auction,"Thursday, January 5, 2023",00342,"320,000 - 420,000 CNY (46,498 - 61,028 USD)","380,000 CNY (55,216 USD)"
Avery Singer Title Untitled Description AVERY SIGNER,Untitled,acrylic on canvas stretched over wood panel,2018,40,45,101.6,114.3,Christie's Hong Kong,"Thursday, December 1, 2022",00322,"2,000,000 - 4,000,000 HKD (257,142 - 514,284 USD)",Bought In
Avery Singer Title Untitled Description AVERY SINGER,Untitled,acrylic on plate paper,2016,40,29.9,101.5,76,Christie's Hong Kong,"Thursday, December 1, 2022",00324,"700,000 - 900,000 HKD (89,999 - 115,713 USD)","945,000 HKD (121,499 USD)"
Avery Singer Title The Great Muses Description AVERY SINGER,The Great Muses,acrylic on canvas,2013,86.6,77.2,220,196,Christie's Hong Kong,"Wednesday, November 30, 2022",00090,"20,000,000 - 30,000,000 HKD (2,562,460 - 3,843,690 USD)","23,250,000 HKD (2,978,859 USD)"
Avery Singer Title Kundry Description Property from an Important Private CollectionAvery Singerb,Kundry,acrylic on canvas,2018,95,85,241.3,215.9,Sotheby's New York,"Wednesday, November 16, 2022",00007,"1,800,000 - 2,500,000 USD","2,107,000 USD"
Avery Singer Title Ise Gropius Description Avery SingerIse Gropiussigned and dated,Ise Gropius,acrylic on panel,2011,36,36,91.4,91.4,Phillips New York,"Wednesday, November 16, 2022",00320,"200,000 - 300,000 USD",Bought In
Avery Singer Title Untitled Description Avery SingerUntitledsigned,Untitled,acrylic on canvas,2015,77.1,61.3,195.9,155.6,Phillips New York,"Tuesday, November 15, 2022",00004,"1,500,000 - 2,000,000 USD","1,724,000 USD"
Avery Singer Title Untitled Description Avery Singerb,Untitled,acrylic on canvas,2016,79.9,90.2,203,229,Sotheby's London,"Friday, October 14, 2022",00012,"800,000 - 1,200,000 GBP (974,896 - 1,462,344 USD)",Withdrawn
Avery Singer Title S,S&M Cruisline,graphite on paper,2011,18.8,23.9,47.8,60.8,Phillips London,"Wednesday, July 13, 2022",00009,"10,000 - 12,000 GBP (11,917 - 14,301 USD)","18,900 GBP (22,524 USD)"
Avery Singer Title Untitled Description AVERY SINGER,Untitled,acrylic on canvas,2017,39.8,29.9,101,76,Christie's Hong Kong,"Friday, May 27, 2022",00139,"700,000 - 1,500,000 HKD (89,177 - 191,094 USD)","2,016,000 HKD (256,831 USD)"
Avery Singer Title Untitled Description AVERY SINGER,Untitled,acrylic on paper,2016,18.9,24,48,61,Christie's Hong Kong,"Friday, May 27, 2022",00138,"300,000 - 500,000 HKD (38,219 - 63,698 USD)","756,000 HKD (96,311 USD)"
Avery Singer Title Untitled Description AVERY SINGER,Untitled,acrylic on canvas laid on wood panel,2017,78.3,61.4,199,156,Christie's Hong Kong,"Thursday, May 26, 2022",00006,"10,000,000 - 15,000,000 HKD (1,273,901 - 1,910,852 USD)","22,050,000 HKD (2,808,953 USD)"
Avery Singer Title Mirror Study Description Avery Singerb,Mirror Study,acrylic on wood panel,2014,18.1,24,46,61,Sotheby's New York,"Friday, May 20, 2022",00409,"100,000 - 150,000 USD","170,100 USD"
Avery Singer Title Bust Description Avery Singerb,Bust,acrylic on wood,2012,36,36,91.5,91.5,Sotheby's New York,"Friday, May 20, 2022",00438,"180,000 - 250,000 USD","252,000 USD"
Avery Singer Title Happening Description Avery Singer,Happening,acrylic on canvas,2014,100,120,254,304.8,Sotheby's New York,"Thursday, May 19, 2022",00006,"2,500,000 - 3,500,000 USD","5,253,000 USD"
Avery Singer Title Prada Mask Description signed and dated,Prada Mask,acrylic on board,2012,36.1,36.1,91.7,91.6,Phillips London,"Friday, March 4, 2022",00114,"150,000 - 200,000 GBP (198,176 - 264,235 USD)","252,000 GBP (332,936 USD)"
Avery Singer Title S,S&M Cruisline,graphite on paper,2011,18.9,24,48,61,Phillips London,"Thursday, December 9, 2021",00052,"15,000 - 20,000 GBP (19,783 - 26,378 USD)",Bought In
Avery Singer Title Untitled,Untitled (Tuesday),acrylic on canvas laid on wood panel,2017,85,95.2,215.9,241.9,Christie's Hong Kong,"Wednesday, December 1, 2021",00027,"16,000,000 - 26,000,000 HKD (2,053,546 - 3,337,012 USD)","35,050,000 HKD (4,498,549 USD)"
Avery Singer Title Untitled Description Avery Singerb,Untitled,acrylic on gessoed board on canvas,2018,40,45,101.6,114.3,Sotheby's New York,"Friday, November 19, 2021",00409,"150,000 - 200,000 USD","315,000 USD"
Avery Singer Title Untitled,Untitled (AS/M 16-36/U),acrylic on Masonite,2016,39.4,30.1,100,76.5,Phillips New York,"Thursday, November 18, 2021",00310,"100,000 - 150,000 USD","113,400 USD"
Avery Singer Title European Ego Ideal Description acrylic on canvas,European Ego Ideal,acrylic on canvas,2014,100,120,254,304.8,Phillips New York,"Wednesday, November 17, 2021",00021,"1,500,000 - 2,500,000 USD","4,023,000 USD"
Avery Singer Title Figures Fucking Description AVERY SINGER,Figures Fucking,acrylic on paper,2011,19.1,24,48.5,61,Christie's New York,"Friday, November 12, 2021",00103,"100,000 - 150,000 USD","187,500 USD"
Avery Singer Title Japanese Helmet Stand Description AVERY SINGER,Japanese Helmet Stand,acrylic on paper,2011,40,28.7,101.5,73,Christie's London,"Saturday, October 16, 2021",00103,"100,000 - 150,000 GBP (137,174 - 205,761 USD)","175,000 GBP (240,054 USD)"
Avery Singer Title Untitled Description signed and dated,Untitled,acrylic on canvas stretched over wood panel,2018,40.1,45.1,101.9,114.5,Phillips London,"Friday, October 15, 2021",00021,"150,000 - 200,000 GBP (206,355 - 275,141 USD)","403,200 GBP (554,684 USD)"
Avery Singer Title Untitled,Untitled (Study),acrylic on gessoed board,2016,30,38.8,76.2,98.5,Sotheby's London,"Thursday, October 14, 2021",00003,"150,000 - 200,000 GBP (205,282 - 273,710 USD)","252,000 GBP (344,874 USD)"
Avery Singer Title Untitled,Untitled 無題,acrylic on smooth plate paper,2016,10.8,13.9,27.5,35.2,Sotheby's Hong Kong,"Sunday, October 10, 2021",00510,"200,000 - 400,000 HKD (25,692 - 51,384 USD)","403,200 HKD (51,795 USD)"
Avery Singer Title Untitled,Untitled 無題,acrylic on gessoed board on canvas,2018,40.2,45,102.1,114.3,Sotheby's Hong Kong,"Sunday, October 10, 2021",00508,"2,000,000 - 4,000,000 HKD (256,920 - 513,841 USD)","2,520,000 HKD"
Avery Singer Title Untitled Description Avery Singerb,Untitled,,,,,,,,,,,
on the overlapac Medium acrylic on foamboard laid down on canvas Year of Work,,acrylic on foamboard laid down on canvas,2017,40,30,101.6,76.2,Sotheby's London,"Thursday, July 1, 2021",00610,"120,000 - 180,000 GBP (165,334 - 248,002 USD)","239,400 GBP (329,842 USD)"
Avery Singer Title Untitled Description signed and dated,Untitled,acrylic on canvas stretched over wood panel,2018,85.1,95,216.2,241.3,Phillips New York,"Wednesday, June 23, 2021",00004,"1,200,000 - 1,800,000 USD","4,144,000 USD"
Avery Singer Title Boots Description Avery Singerb,Boots,acrylic on canvas stretched over wood panel,2017,40,48,101.6,121.9,Sotheby's Hong Kong,"Friday, June 18, 2021",00005,"3,800,000 - 5,800,000 HKD (489,514 - 747,153 USD)","10,460,000 HKD"
Avery Singer Title Untitled,Untitled (Hand),acrylic on canvas,2017,40.2,30.3,102,77,Christie's Hong Kong,"Tuesday, May 25, 2021",00204,"400,000 - 600,000 HKD (51,528 - 77,292 USD)","3,250,000 HKD (418,668 USD)"
Avery Singer Title Dancers Around An Effigy To Modernism Description AVERY SINGER,Dancers Around An Effigy To Modernism,acrylic on canvas,2013,72,96.2,183,244.3,Christie's Hong Kong,"Monday, May 24, 2021",00043,"7,800,000 - 12,000,000 HKD (1,004,494 - 1,545,376 USD)","24,250,000 HKD (3,122,947 USD)"
Avery Singer Title Untitled,Untitled (Cube) 無題（⽴⽅體）,acrylic on gessoed board on canvas,2018,40,45,101.6,114.3,Sotheby's Hong Kong,"Monday, April 19, 2021",01103,"1,200,000 - 2,200,000 HKD (154,515 - 283,278 USD)","6,709,000 HKD"
Avery Singer Title Untitled Description signed and dated,Untitled,acrylic on canvas,2016,40,48,101.6,121.9,Phillips London,"Thursday, April 15, 2021",00004,"150,000 - 200,000 GBP (206,725 - 275,633 USD)","466,200 GBP (642,502 USD)"
Avery Singer Title Untitled,Untitled (Study for “Gerty MacDowell’s Playbook”),acrylic on gessoed board,2016,30,38.7,76.2,98.4,Phillips New York,"Tuesday, December 8, 2020",00412,"120,000 - 180,000 USD","239,400 USD"
Avery Singer Title Untitled Description AVERY SINGER,Untitled,acrylic on paper,2017,32.1,42,81.6,106.7,Christie's Online,"Wednesday, August 19, 2020",00015,"25,000 - 35,000 USD","52,500 USD"
Avery Singer Title Platform for Infinite Intervention Description Avery Singer,Platform for Infinite Intervention,graphite on paper,2011,19,24,48.3,61,Phillips New York,"Wednesday, November 13, 2019",00461,"20,000 - 30,000 USD","37,500 USD"
Avery Singer Title Cycladic Mask Description Avery Singer,Cycladic Mask,acrylic on masonite,2011,36,36,91.4,91.4,Christie's London,"Wednesday, March 6, 2019",00003,"80,000 - 120,000 GBP (105,193 - 157,790 USD)","150,000 GBP (197,238 USD)"
Avery Singer Title UNTITLED,UNTITLED (SATURDAY NIGHT),acrylic on canvas,2017,78,61,198.1,154.9,Sotheby's New York,"Thursday, November 15, 2018",00428,"200,000 - 300,000 USD","591,000 USD"
Avery Singer Title Ihole Description Iholeacrylic on panel,Ihole,acrylic on panel,2011,44.1,72,112,183,Phillips London,"Friday, October 5, 2018",00001,"40,000 - 60,000 GBP (52,417 - 78,626 USD)","243,000 GBP (318,437 USD)"
Avery Singer Title UNTITLED Description Avery SingerB,UNTITLED,,,,,,,,,,,
on the reverseacrylic Medium acrylic on paper Year of Work,,acrylic on paper,2017,31.9,41.5,81,105.4,Sotheby's New York,"Tuesday, September 25, 2018",00218,"30,000 - 40,000 USD",Bought In
Avery Singer Title FLUTE SOLOIST Description Avery SingerB,FLUTE SOLOIST,acrylic on panel,2014,60,43.7,152.4,111.1,Sotheby's New York,"Tuesday, September 25, 2018",00204,"120,000 - 180,000 USD","435,000 USD"
Avery Singer Title UNTITLED Description Avery SingerB,UNTITLED,,,,,,,,,,,
on the reverseacrylic Medium acrylic on paper Year of Work,,acrylic on paper,2017,31.9,41.5,81,105.4,Sotheby's New York,"Tuesday, September 25, 2018",00217,"30,000 - 40,000 USD",Bought In
Avery Singer Title UNTITLED,"UNTITLED (STUDY FOR ""GERTY MACDOWELL'S",acrylic on gessoed board,2016,30,38.7,76.2,98.4,Sotheby's New York,"Thursday, May 17, 2018",00411,"40,000 - 60,000 USD","87,500 USD"
Avery Singer Title FELLOW TRAVELERS,"FELLOW TRAVELERS, FLAMING CREATURES",acrylic on canvas,2013,86,132,218.4,335.3,Sotheby's New York,"Wednesday, May 16, 2018",00006,"80,000 - 120,000 USD","735,000 USD"
Avery Singer Title UNTITLED Description signed and dated,UNTITLED,acrylic on canvas,2013,23.6,17.7,60,45,Sotheby's London,"Friday, October 6, 2017",00186,"15,000 - 20,000 GBP (19,597 - 26,130 USD)","27,500 GBP (35,928 USD)"
Harold Ancart Title Untitled Description DETAILSHAROLD ANCART,Untitled,"oilstick and graphite on paper mounted on panel,",2015,51.8,37.6,131.6,95.5,Christie's New York,"Friday, November 22, 2024",00818,"120,000 - 180,000 USD","119,700 USD"
Harold Ancart Title Untitled Description DETAILSHAROLD ANCART,Untitled,oil stick and pencil on wood,2017,29.9,24,76,61,Christie's Hong Kong,"Saturday, November 9, 2024",00115,"250,000 - 350,000 HKD (32,156 - 45,019 USD)",Bought In
Harold Ancart Title Untitled Description Harold Ancartb,Untitled,"oilstick and graphite on canvas, in artist's frame",2020,44,54.7,111.8,139,Sotheby's London,"Thursday, October 10, 2024",00118,"50,000 - 70,000 GBP (65,265 - 91,371 USD)",Bought In
Harold Ancart Title Untitled Description DETAILSHAROLD ANCART,Untitled,oil stick on canvas,2019,63.7,83.9,161.9,213,Christie's New York,"Tuesday, October 1, 2024",00408,"120,000 - 180,000 USD","163,800 USD"
Harold Ancart Title Untitled Description DETAILSHAROLD ANCART,Untitled,oil stick and coloured pencil on canvas laid on,2016,84.6,105.5,215,268,Christie's Hong Kong,"Tuesday, May 28, 2024",00088,"1,200,000 - 2,200,000 HKD (153,623 - 281,643 USD)","945,000 HKD (120,978 USD)"
Harold Ancart Title Untitled Description HAROLD ANCART,Untitled,oilstick and graphite on canvas,2022,86.6,70.9,220,180,Christie's New York,"Friday, May 17, 2024",00352,"200,000 - 300,000 USD","352,800 USD"
Harold Ancart Title Untitled Description Harold AncartUntitledsigned and dated,Untitled,"oilstick, fire and soot on c-print mounted on",2012,24.5,36.5,62.3,92.8,Phillips London,"Friday, April 19, 2024",00077,"10,000 - 15,000 GBP (12,397 - 18,596 USD)","10,160 GBP (12,596 USD)"
Harold Ancart Title Untitled Description LOT,Untitled,"acrylic, oil stick and pencil on paper mounted on",2012,68.5,46.1,174.1,117.2,Bonhams London,"Thursday, March 21, 2024",00009,"45,000 - 65,000 GBP (57,005 - 82,341 USD)",Bought In
Harold Ancart Title Untitled Description Harold Ancartb,Untitled,"oilstick and graphite on canvas, in artist's frame",2020,69.5,85.4,176.5,217,Sotheby's London,"Friday, October 13, 2023",00218,"140,000 - 200,000 GBP (170,606 - 243,724 USD)",Withdrawn
Harold Ancart Title Untitled Description Harold Ancartb,Untitled,"oilstick and pencil on canvas mounted on wood,",2015,112.8,80.9,286.5,205.5,Sotheby's London,"Thursday, October 12, 2023",00014,"300,000 - 400,000 GBP (366,345 - 488,460 USD)","304,800 GBP (372,206 USD)"
Harold Ancart Title Untitled,Untitled 無題,oil stick and pencil on canvas,2019,113,98.6,287,250.4,Sotheby's Hong Kong,"Thursday, October 5, 2023",08535,"1,400,000 - 2,000,000 HKD (178,774 - 255,391 USD)","2,032,000 HKD (259,478 USD)"
Harold Ancart Title Untitled Description Harold AncartUntitledsigned and dated,Untitled,"oilstick and graphite on panel, in artist's frame",2018,11.5,14.4,29.1,36.6,Phillips London,"Thursday, July 13, 2023",00041,"15,000 - 20,000 GBP (19,641 - 26,188 USD)","15,240 GBP (19,955 USD)"
Harold Ancart Title Untitled Description Harold Ancartb,Untitled,,,,,,,,,,,
on the overlapoilstick a Medium oilstick and graphite on canvas,,"oilstick and graphite on canvas, in artist's frame",2020,44,54.7,111.8,139,Sotheby's London,"Wednesday, June 28, 2023",00206,"50,000 - 70,000 GBP (60,931 - 85,303 USD)",Withdrawn
Harold Ancart Title Untitled Description Harold AncartUntitledsigned and dated,Untitled,"oilstick and graphite on canvas, in artist's frame",2020,99.3,137.2,252.1,348.6,Phillips New York,"Tuesday, May 16, 2023",00332,"350,000 - 450,000 USD","431,800 USD"
Harold Ancart Title Untitled Description HAROLD ANCART,Untitled,oil stick on paper mounted on wood panel,2015,28.3,21.1,71.8,53.5,Christie's Online,"Wednesday, December 14, 2022",00009,"25,000 - 35,000 USD","40,320 USD"
Harold Ancart Title Untitled Description HAROLD ANCART,Untitled,"oil stick and pencil on canvas, mounted on panel",2019,80,112.1,203.2,284.8,Christie's Hong Kong,"Wednesday, November 30, 2022",00003,"1,200,000 - 2,200,000 HKD (153,747 - 281,870 USD)","2,772,000 HKD (355,156 USD)"
Harold Ancart Title Untitled Description Harold AncartUntitledoil stick and pencil on canvas,Untitled,"oil stick and pencil on canvas, in artist's frame",2017,85,69,215.9,175.3,Phillips London,"Friday, October 14, 2022",00031,"200,000 - 300,000 GBP (224,215 - 336,322 USD)","239,400 GBP (268,385 USD)"
Harold Ancart Title Untitled Description PROPERTY FROM A DISTINGUISHED PRIVATE COLLECTION Harold Ancart Untitled signed Medium oilstick and graphite on canvas,Untitled,"oilstick and graphite on canvas, in artist's frame",2019,112.9,80.9,286.7,205.6,Phillips London,"Thursday, October 13, 2022",00115,"150,000 - 200,000 GBP (170,145 - 226,860 USD)","378,000 GBP (428,765 USD)"
Harold Ancart Title Sans titre Description Harold Ancart,Sans titre,"burnt chromogenic print, oil stick and wood on",2012,24,36,61,91.5,Christie's Paris,"Wednesday, June 29, 2022",00299,"15,000 - 20,000 EUR (15,711 - 20,948 USD)","15,120 EUR (15,837 USD)"
Harold Ancart Title Untitled Description signed,Untitled,"oil stick and graphite on paper mounted to panel,",2017,52.5,41.5,133.4,105.4,Phillips Hong Kong,"Tuesday, June 21, 2022",00156,"600,000 - 800,000 HKD (76,435 - 101,913 USD)",Bought In
Harold Ancart Title Untitled Description Harold Ancartb,Untitled,"oil, acrylic and spray paint on canvas",2018,85,69,215.9,175.3,Sotheby's New York,"Friday, May 20, 2022",00422,"250,000 - 350,000 USD",Bought In
Harold Ancart Title Untitled,Untitled 無題,"oil stick and graphite on canvas laid on panel, in",2015,80.8,112.4,205.3,285.6,Sotheby's Hong Kong,"Thursday, April 28, 2022",00527,"1,800,000 - 2,500,000 HKD (229,404 - 318,617 USD)",Bought In
Harold Ancart Title Untitled,Untitled 無題,oil stick on paper,2016,65.7,52.2,167,132.5,Sotheby's Hong Kong,"Wednesday, April 27, 2022",01143,"1,500,000 - 2,500,000 HKD (191,160 - 318,601 USD)","5,040,000 HKD (642,300 USD)"
Harold Ancart Title Untitled Description oilstick and pencil on paper laid on board,Untitled,"oilstick and pencil on paper laid on board, in",2014,52.8,71,134,180.3,Phillips New York,"Wednesday, March 9, 2022",00029,"70,000 - 100,000 USD","100,800 USD"
Harold Ancart Title SANS TITRE Description,SANS TITRE,grease pencil on photograph on panel,2013,15.7,19.9,40,50.5,Tajan,"Wednesday, December 1, 2021",00020,"8,000 - 12,000 EUR (9,060 - 13,590 USD)","6,400 EUR (7,248 USD)"
Harold Ancart Title SANS TITRE Description,SANS TITRE,,,,,,,,,,,
Crayon gras et mine de plomb sur papier mo Medium grease pencil and pencil on paper on panel Year of Work,,grease pencil and pencil on paper on panel,2011,64.6,44.9,164,114,Tajan,"Wednesday, December 1, 2021",00019,"60,000 - 80,000 EUR (67,950 - 90,600 USD)",Bought In
Harold Ancart Title Untitled Description HAROLD ANCART,Untitled,oilstick and colored pencil on canvas mounted on,2015,113,81,287,205.7,Christie's New York,"Friday, November 12, 2021",00109,"600,000 - 800,000 USD","750,000 USD"
Harold Ancart Title Untitled,Untitled 無題,"oilstick and pencil on canvas, in artist's frame",2018,85,68.9,216,175,Sotheby's Hong Kong,"Sunday, October 10, 2021",00538,"2,000,000 - 4,000,000 HKD (256,920 - 513,841 USD)","2,772,000 HKD (356,092 USD)"
Harold Ancart Title Untitled Description HAROLD ANCART,Untitled,"oilstick and graphite on wood, in artist's frame",2017,,,,,Christie's London,"Friday, July 2, 2021",00542,"30,000 - 50,000 GBP (41,385 - 68,975 USD)","52,500 GBP (72,423 USD)"
Harold Ancart Title Untitled Description HAROLD ANCART,Untitled,oilstick and pencil on paper laid on wood panel,2015,51.4,69.7,130.5,177,Christie's Hong Kong,"Tuesday, May 25, 2021",00237,"400,000 - 600,000 HKD (51,528 - 77,292 USD)","1,250,000 HKD (161,026 USD)"
Harold Ancart Title Untitled Description HAROLD ANCART,Untitled,oilstick and coloured pencil on paper laid on wood,2016,64,51.4,162.5,130.5,Christie's Hong Kong,"Tuesday, May 25, 2021",00236,"1,000,000 - 2,000,000 HKD (128,821 - 257,642 USD)","1,875,000 HKD (241,539 USD)"
Harold Ancart Title Untitled Description Harold Ancartb,Untitled,"oilstick and graphite on canvas, in artist's chosen",2017,76.9,95.9,195.3,243.5,Sotheby's New York,"Thursday, May 13, 2021",00408,"300,000 - 500,000 USD","441,000 USD"
Harold Ancart Title Untitled Description Harold Ancartb,Untitled,oilstick and colored pencil on canvas in artist's,2016,112,80,284.5,203.2,Sotheby's New York,"Wednesday, May 12, 2021",00125,"600,000 - 800,000 USD","1,018,500 USD"
Harold Ancart Title Untitled Description signed and dated,Untitled,"acrylic on burned photograph, in artist’s frame",2013,16.6,20.6,42.1,52.3,Phillips London,"Tuesday, December 15, 2020",00016,"6,000 - 8,000 GBP (8,060 - 10,746 USD)","7,560 GBP (10,155 USD)"
Harold Ancart Title Untitled Description,Untitled,"oil stick and pencil on canvas mounted on wood,",2018,24,20.1,61,51,Phillips in Association with Poly Auction,"Friday, December 4, 2020",00104,"600,000 - 800,000 HKD (77,416 - 103,221 USD)","693,000 HKD (89,415 USD)"
Harold Ancart Title UNTITLED,UNTITLED 無題,oilstick on canvas,2015,81.1,113,206,287,Sotheby's Hong Kong,"Tuesday, October 6, 2020",01138,"2,000,000 - 3,000,000 HKD (258,067 - 387,101 USD)","2,520,000 HKD (325,165 USD)"
Harold Ancart Title UNTITLED Description HAROLD ANCARTb,UNTITLED,"oil stick and pencil on paper mounted on panel, in",2015,19.5,15.2,49.5,38.5,Sotheby's New York,"Friday, October 2, 2020",00209,"80,000 - 120,000 USD","119,700 USD"
